Time,MeanN,ErrorMn,CV2N,ErrorCV2
0.9300000000000006,1.888,0.056339376311158595,0.2310129991381787,0.035063470439222984
0.9400000000000006,1.907,0.057184670605770815,0.2332782184918038,0.03547558563325815
0.9500000000000006,1.922,0.05757313130500297,0.23278192916024648,0.0353852098144467
0.9600000000000006,1.939,0.057952270941082684,0.23174033392371401,0.035195687230459
0.9700000000000006,1.948,0.0581520340828936,0.23118957367952814,0.035095559170465154
0.9800000000000006,1.958,0.05851349258756655,0.23168770951993914,0.03518611758404174
0.9900000000000008,1.974,0.05894300913110739,0.23130586171393258,0.03511669539768103
1.0000000000000009,1.99,0.05967663401670342,0.23330218933865302,0.03547995200478739
1.010000000000001,1.999,0.06009819098128766,0.23448417555451057,0.03569539254220508
1.020000000000001,2.01,0.06019115272150266,0.2326427563674167,0.03535987457825696
1.0300000000000007,2.028,0.06042495678357929,0.2303101743247396,0.034935806804473085
1.0400000000000007,2.042,0.060838826398147194,0.23028545500416814,0.03493131844728349
1.0500000000000007,2.058,0.061230387200704506,0.2296463775014379,0.0348153206367892
1.0600000000000007,2.068,0.0613794045583953,0.2285391467662343,0.03461453768366093
1.0700000000000007,2.081,0.06203725943174332,0.2305565029565454,0.03498053988993191
1.0800000000000007,2.099,0.062432417436451004,0.2295153594091062,0.03479154960778907
1.0900000000000007,2.115,0.0628807757578036,0.22931442080378242,0.034755099180917
1.1000000000000008,2.124,0.06315141849005279,0.22933668131408247,0.03475913686777537
1.1100000000000008,2.151,0.06434787472659353,0.23216883544375483,0.03527362940249791
1.1200000000000008,2.172,0.0650691690894063,0.23283443389667252,0.03539476883430561
1.1300000000000008,2.186,0.06551160271320589,0.23299814422478912,0.035424577385966396
1.1400000000000008,2.201,0.06630683967815942,0.2354468591679342,0.0358710599762081
1.1500000000000008,2.22,0.06708707838518224,0.23691258826393957,0.03613886402364302
1.1600000000000008,2.232,0.06773255058237027,0.23890366259426263,0.03650331433121152
1.1700000000000008,2.247,0.06795456135855193,0.23727250238611183,0.03620468719917725
1.1800000000000008,2.266,0.06849843624008667,0.23705975512760483,0.03616577574733526
1.1900000000000008,2.284,0.06934017876140874,0.23910796494919354,0.03654075316237297
1.2000000000000008,2.306,0.07025197903863756,0.24077691665995943,0.03684689033601727
1.2100000000000009,2.322,0.07090604250527344,0.24191254531979242,0.03705550288806277
1.2200000000000009,2.341,0.07162011510743449,0.2428194831615386,0.03722228136138832
1.2300000000000009,2.355,0.07221654745117867,0.2439540030923048,0.03743112980826632
1.2400000000000009,2.367,0.0720919668972253,0.24065426440767992,0.0368243740591265
1.2500000000000009,2.381,0.07250590679419222,0.24057157664070575,0.036809196006053
1.260000000000001,2.398,0.07329262583860974,0.24234749419345147,0.037135466963157227
1.270000000000001,2.42,0.07334530454071686,0.23830339457687325,0.036393360130502234
1.280000000000001,2.441,0.07394510234870744,0.2380672188096262,0.03635011748771439
1.290000000000001,2.448,0.07427737797859901,0.2388397624845145,0.036491606140742004
1.300000000000001,2.469,0.07499378720539074,0.23934519922289535,0.036584236840588584
1.310000000000001,2.487,0.07480831427072365,0.23472778189245921,0.035739828168629265
1.320000000000001,2.5,0.0752237298752112,0.23488,0.0357675997037828
1.330000000000001,2.521,0.07602800850643154,0.23594885075638336,0.03596273259263595
1.340000000000001,2.536,0.07646140109288169,0.23583178258316834,0.0359413495218142
1.350000000000001,2.554,0.07682301452595652,0.2347238566309915,0.035739112080734825
1.360000000000001,2.577,0.07754682437963556,0.23491758457288134,0.03577445753401087
1.370000000000001,2.6,0.07779320457796635,0.23224852071005916,0.03528812765933759
1.380000000000001,2.622,0.07836380864604209,0.23172987355132102,0.03519378498910451
1.390000000000001,2.647,0.07878753320272391,0.2298388564282665,0.034850248768609315
1.400000000000001,2.66,0.07932409552078257,0.2307083498219233,0.035008121042428474
1.410000000000001,2.678,0.07966149183655791,0.22955779981382338,0.03479924933889634
1.420000000000001,2.698,0.08010734675330733,0.22870577607111983,0.034644738602536015
1.430000000000001,2.715,0.08032308388179299,0.22706877079454232,0.03434827308971812
1.440000000000001,2.735,0.08077769456110673,0.22630001102908007,0.03420923003852018
1.450000000000001,2.749,0.08109259941633562,0.22575079717469929,0.0341099665892962
1.460000000000001,2.777,0.08136005879389963,0.22268300662536247,0.03355659506727113
1.470000000000001,2.8,0.08189671085455075,0.2219387755102041,0.0334226301204506
1.480000000000001,2.822,0.08195119640313031,0.21878266390278664,0.032855738448136024
1.490000000000001,2.839,0.08248479697171707,0.21899457823469978,0.032893739750101014
1.500000000000001,2.862,0.08313361229416216,0.21889224377258873,0.032875387617025194
1.5100000000000011,2.887,0.08371752197074889,0.21815013709438136,0.03274236463203336
1.5200000000000011,2.904,0.08428087818517938,0.21851497696726846,0.03280774860572379
1.5300000000000011,2.927,0.08543662812039754,0.22103400021173458,0.03325991442913126
1.5400000000000011,2.94,0.08603748055949234,0.2221759452080152,0.03346530981882564
1.5500000000000012,2.96,0.08590296985048118,0.21849890430971514,0.03280486761959509
1.5600000000000012,2.982,0.08646820268525346,0.2181292539498111,0.03273862291056957
1.5700000000000012,3.003,0.08689765486546985,0.2172309874607576,0.03257775931884693
1.5800000000000012,3.038,0.0880338961028091,0.21784150811251468,0.0326870751526477
1.5900000000000012,3.054,0.08826408385483919,0.21669370668718363,0.032481619131719375
1.6000000000000012,3.071,0.08828318813653935,0.21439404197267298,0.03207077615184238
1.6100000000000012,3.1,0.0890232388862211,0.21394380853277833,0.03199046511026819
1.6200000000000012,3.123,0.08966760269389029,0.21386685237117234,0.0319767420389041
1.6300000000000012,3.147,0.09008618939267388,0.21258825949207003,0.031748914428724115
1.6400000000000012,3.165,0.09035074634068341,0.21141334052095262,0.031539852056451365
1.6500000000000012,3.186,0.09106527882479032,0.21194853977047262,0.03163504944608758
1.6600000000000013,3.202,0.09202932478530723,0.2143019607124061,0.03205434769582501
1.6700000000000013,3.226,0.09260819640232487,0.21378954088545138,0.031962956809491835
1.6800000000000013,3.244,0.09309681108761358,0.21366050346575519,0.03193995113997479
1.6900000000000013,3.263,0.09320785417715882,0.21168359401452155,0.03158791553385367
1.7000000000000013,3.287,0.0934721533667342,0.20978837357369043,0.03125117149373016
1.7100000000000013,3.312,0.09400723602918815,0.20900575275969102,0.031112328413559015
1.7200000000000013,3.33,0.09409830200382219,0.20715309904499088,0.030784152287162695
1.730000000000001,3.36,0.09449277732145989,0.20517998866213152,0.03043541334542636
1.740000000000001,3.381,0.09476648909146812,0.20381473062972347,0.03019457945087286
1.750000000000001,3.411,0.09481203428519214,0.20043788866293116,0.029600558008886578
1.7600000000000011,3.442,0.09530991662252886,0.1989164847133928,0.029333703538584152
1.7700000000000014,3.469,0.09564103640356736,0.19719517123248115,0.02903236951782827
1.7800000000000014,3.49,0.09581943329729592,0.19555668672670998,0.028746114524364572
1.7900000000000014,3.516,0.09609748911843674,0.1937950484118756,0.02843897635215929
1.8000000000000014,3.538,0.0963940990026515,0.19257573670790937,0.028226777195516986
1.8100000000000012,3.568,0.09732572375310955,0.19302871563876206,0.028305573097065134
1.8200000000000012,3.592,0.09728927982544144,0.19031527621390767,0.027834222829060666
1.8300000000000012,3.62,0.09792241368852128,0.18982937028784225,0.027749982450660408
1.8400000000000012,3.636,0.09795988125030153,0.18830639939681534,0.027486276795163557
1.8500000000000012,3.662,0.09863147275372874,0.18819612827328122,0.027467202474701077
1.8600000000000012,3.691,0.09932784533837413,0.18787555104308515,0.02741176499847587
1.8700000000000012,3.712,0.09966754565828806,0.18702855603448276,0.027265400612390134
1.8800000000000012,3.74,0.10027182780498567,0.18647945323000367,0.02717059604967309
1.8900000000000012,3.761,0.10083685012969612,0.1864868458884162,0.027171871985676888
1.9000000000000012,3.782,0.10126783108976012,0.186001435730104,0.027088117717230374
1.9100000000000013,3.814,0.10257127349508677,0.1876318005944483,0.027369628011705983
1.9200000000000013,3.848,0.10293687756555014,0.18564710560552564,0.027027012648048507
1.9300000000000013,3.871,0.10371029671752652,0.18621460467421277,0.027124892308702436
1.9400000000000013,3.891,0.10391006475360243,0.1850159192136318,0.026918230503895916
1.9500000000000013,3.923,0.10472211149029942,0.1848657651377079,0.026892364855615705
1.9600000000000013,3.949,0.10544342494325676,0.18496138503319193,0.02690883584074841
1.9700000000000013,3.975,0.10591715610468233,0.1841936632253471,0.02677664815930858
1.980000000000001,4.006,0.10638176679152345,0.18294849288722925,0.026562525427864747
1.990000000000001,4.029,0.10674701276006449,0.18210977363728262,0.026418487859728182
2.0000000000000013,4.052,0.10673143014146902,0.1799956927172815,0.026056109876588678
2.010000000000001,4.076,0.1071446561195728,0.17926231821110386,0.025930630574608676
2.020000000000001,4.107,0.10749174822350582,0.1777121721251388,0.025665793624598914
2.0300000000000007,4.124,0.10747512589486963,0.17619555185938152,0.025407199724176294
